13-4,13-4,9-31,9-31,A/B,A/B,58-52,58-52,67-63,67-63,D/E,D/E
386,-135,122,213,3.1639344262295084,-0.6338028169014085,-34,69,-39,11,0.8717948717948718,6.2727272727272725
387,-131,121,205,3.1983471074380163,-0.6390243902439025,-31,68,-38,11,0.8157894736842105,6.181818181818182
376,-130,117,211,3.213675213675214,-0.6161137440758294,-31,71,-37,16,0.8378378378378378,4.4375
427,-29,69,232,6.188405797101449,-0.125,-44,52,-35,-1,1.2571428571428571,-52.0
438,-27,70,239,6.257142857142857,-0.11297071129707113,-45,58,-38,3,1.1842105263157894,19.333333333333332
422,-52,89,211,4.741573033707865,-0.24644549763033174,-41,52,-36,0,1.1388888888888888,inf
426,-58,91,206,4.681318681318682,-0.2815533980582524,-37,51,-34,-1,1.088235294117647,-51.0
745,-61,222,428,3.355855855855856,-0.1425233644859813,-63,126,-65,9,0.9692307692307692,14.0
717,-83,239,408,3.0,-0.2034313725490196,-62,131,-67,16,0.9253731343283582,8.1875
502,-89,117,268,4.2905982905982905,-0.332089552238806,-43,94,-39,13,1.1025641025641026,7.230769230769231
519,-86,118,254,4.398305084745763,-0.33858267716535434,-48,78,-45,6,1.0666666666666667,13.0
566,-115,181,302,3.1270718232044197,-0.38079470198675497,-55,88,-58,3,0.9482758620689655,29.333333333333332
